doi	title	publisher	publicationYear
10.1594/pangaea.961653	Chemical analyses of Fe-Mn coatings separated from the margins of basaltic rocks from Transform Fault 'A' and from the the Rift Valley near 36°50'N in the Mid-Atlantic Ridge	PANGAEA	2023
10.1594/pangaea.954244	Physical oceanography and current velocity data from mooring AK4-1 in the Arctic Ocean in 2015-2018	PANGAEA	2023
10.1594/pangaea.954237	Physical oceanography and current velocity data from mooring AK3-1 in the Arctic Ocean in 2015-2018	PANGAEA	2023
10.1594/pangaea.954299	Physical oceanography and current velocity data from mooring AK6-1 in the Arctic Ocean in 2015-2018	PANGAEA	2023
10.1594/pangaea.951363	Physical oceanography and current velocity data from mooring AK1-1 in the Arctic Ocean in 2015-2018	PANGAEA	2023
10.1594/pangaea.954249	Physical oceanography and current velocity data from mooring AK5-1 in the Arctic Ocean in 2015-2018	PANGAEA	2023
10.1594/pangaea.951394	Physical oceanography and current velocity data from mooring AK2-1 in the Arctic Ocean in 2015-2018	PANGAEA	2023
10.1594/pangaea.961589	REVEALS reconstruction of past vegetation cover with original RPP values for Asian samples	PANGAEA	2023
10.1594/pangaea.954352	Physical oceanography and current velocity data from mooring AK7-1 in the Arctic Ocean in 2015-2018	PANGAEA	2023
10.1594/pangaea.961652	Chemical analyses of hydrothermal deposits and associated material from Transform fault 'A' on the Mid-Atlantic Ridge, FAMOUS area	PANGAEA	2023
10.1594/pangaea.954155	Abundance of N-cycling genes in an oxygen-deficient upwelling system during La Niña (2018) and El Niño (2019)	PANGAEA	2023
10.1594/pangaea.954151	Oceanographic variables and nutrient concentrations in an oxygen-deficient upwelling system during La Niña (2018) and El Niño (2019)	PANGAEA	2023
10.1594/pangaea.954089	Prokaryotic community (mayor clades contributing &gt;0.1% of the total 16S rRNA sequences) in an oxygen-deficient upwelling system during La Niña (2018) and El Niño (2019)	PANGAEA	2023
10.1594/pangaea.954152	Concentrations of total N, total P, and gases in an oxygen-deficient upwelling system during El Niño (2019)	PANGAEA	2023
10.26037/yareta:yqifa2kr3valpkbzzk7g6tvqlu	Switchable tribology of ferroelectrics Data sets	Université de Genève, Yareta	2023
10.26037/yareta:63nioqloajbkdg3eu3jkdbxh5y	Impact of the First Swiss Congress on Prehospital Emergency Care and Trauma Research (SPECTRe) on Paramedics' Intention to Engage in Reseach	Université de Genève, Yareta	2023
10.26037/yareta:jmnbt6lzkrfrpdcf3m3343smxq	Architecture of the MKK6-p38α complex defines the basis of MAPK specificity and activation	Université de Genève, Yareta	2023
10.26037/yareta:owokqjho7ffjjlq4i7i3h6wjyq	Two statistical regimes in the transition to filamentation	Université de Genève, Yareta	2023
10.25326/550	60m Tower - P2OA-CRA station - Turbulence measurements - L2A	Aeris	2023
10.25326/551	60m Tower - P2OA-CRA station - Meteorological variables  -  L2A	Aeris	2023
10.25326/552	RAPACE Sky Imager - P2OA-CRA station - L1A	Aeris	2023
10.25326/567	EKO Sky Imager - P2OA-PDM station - L1A	Aeris	2023
10.15468/hvzebg	Searching for the yellow-bellied sea snake	University of Adelaide Environment Institute	2023
10.15468/0allhx	Mystaya	Notomys Seeds	2023
10.15468/4matag	Biodiversity monitoring in Brunswick Valley Heritage Park Mullumbimby	Brunswick Valley Landcare	2023
10.15468/l5zoiy	Ecosystems of the sandstone region incl. sand-belt (SE of Melb.)	Ecosystems of the sandstone region incl. sand-belt (SE of Melb.)	2023
10.15468/jp5pv3	Working Wonders on Weeds - Community of Denmark W.A.	Working Wonders on Weeds  -  Community of Denmark W.A.	2023
10.15468/vrmvba	Plants Of The Green Line - Woolsthorpe Section	Kevin Sparrow	2023
10.15468/qohp97	Weed Population Genetics	Commonwealth Scientific and Industrial Research Organisation	2023
10.15468/wxcnu2	Robert Read Observations	Atlas of Living Australia	2023
10.15468/gcyxlb	Tracking Australia - arid wildlife track-based monitoring	Tracking Australia	2023
10.15468/3xhjwd	Wingecarribee Shire Council Macroinvertebrate Sampling	Atlas of Living Australia	2023
10.15468/scris1	Greendale Creek and Curl Curl Lagoon Bird Survey 2017 to 2019	Northern Beaches Council	2023
10.15468/zj23oo	Great Koala Count 2	Great Koala Count 2	2023
10.15468/cgiuqh	Koala Count	Koala Action Group	2023
10.15468/ymtyqe	Plants of Scotia Sanctuary	Atlas of Living Australia	2023
10.15468/jvt4yj	Tempe birdos	Tempe Birdos	2023
10.15468/swmlas	ERBG AVH data	Atlas of Living Australia	2023
10.15468/px2xfi	NSW South Coast &amp; ACT plants	Atlas of Living Australia	2023
10.15468/efbic6	WCPS Bird Survey Project	BioCollect	2023
10.15468/giro3a	Northern Territory Museum and Art Gallery provider for OZCAM	Museum and Art Gallery of the Northern Territory	2023
10.15468/d5o7bf	Flora Atlas N.T.	Northern Territory Department of Environment and Natural Resources	2023
10.15468/eeg0zb	Fauna Atlas N.T.	Northern Territory Government	2023
10.15468/jsjoae	Garden Bird Surveys	Canberra Ornithologists Group	2023
10.5255/ukda-sn-6614-19	Understanding Society: Waves 1-13, 2009-2022 and Harmonised BHPS: Waves 1-18, 1991-2009	UK Data Service	2023
10.5255/ukda-sn-6931-16	Understanding Society: Waves 1-13, 2009-2022 and Harmonised BHPS: Waves 1-18, 1991-2009: Special Licence Access	UK Data Service	2023
10.5255/ukda-sn-5050-26	English Longitudinal Study of Ageing: Waves 0-9, 1998-2019	UK Data Service	2023
10.5255/ukda-sn-9093-2	People and Nature Survey for England, 2020-2023	UK Data Service	2023
10.5255/ukda-sn-9000-3	COVID Social Mobility and Opportunities Study: Wave 1, 2021-2022	UK Data Service	2023
10.5255/ukda-sn-7745-6	Employer Skills Survey, 2011-2019: Secure Access	UK Data Service	2023
10.5255/ukda-sn-9026-2	European Working Conditions Telephone Survey, 2021	UK Data Service	2023
