doi	title	publisher	publicationYear
10.1594/pangaea.962971	Last Glacial Maximum (LGM) paleo-dust record	PANGAEA	2024
10.1594/pangaea.962970	Pre-industrial Holocene (pi-HOL) paleo-dust record	PANGAEA	2024
10.1594/pangaea.973498	Seawater carbonate chemistry and swimming activity and body size of a common copepod. Hydrobiologia	PANGAEA	2024
10.1594/pangaea.972918	Temperature reaction norms of Thalassiosira gravida and Thalassiosira rotula	PANGAEA	2024
10.1594/pangaea.972917	Photoperiod reaction norms for Thalassiosira gravida and Thalassiosira rotula	PANGAEA	2024
10.1594/pangaea.972919	Nitrate uptake kinetics for Thalassiosira gravida and Thalassiosira rotula	PANGAEA	2024
10.1594/pangaea.967134	Laser dust logging of the EPICA Dome C borehole	PANGAEA	2024
10.1594/pangaea.973484	Bulk sediment geochemistry of Okhotsk Sea surface sediments	PANGAEA	2024
10.23637/rothamsted.9910x	Spatial and temporal measurement of soil moisture and nitrogen in a pasture field	Rothamsted Research	2024
10.23637/rothamsted.99163	Data from: A conserved fungal Knr4/Smi1 protein is vital for maintaining cell wall integrity and host plant pathogenesis	Rothamsted Research	2024
10.5281/zenodo.14192757	Classification of web-based Digital Humanities projects leveraging information visualisation techniques	Zenodo	2024
10.5281/zenodo.14192758	Classification of web-based Digital Humanities projects leveraging information visualisation techniques	Zenodo	2024
10.15472/eajbmi	Ants from Tropical Dry Forests and their surrounding matrices in the geographical valley of the Cauca River which are deposited in the entomological collection of the Universidad del Magdalena / Hormigas de bosque seco tropical y sus matrices aledañas en el valle geográfico del río Cauca depositadas en la colección entomológica de la Universidad del Magdalena	Universidad del Magdalena	2024
10.1594/pangaea.965083	Mortality rates from a long-term multiple stressor aquarium experiment with the cold-water coral Desmophyllum pertusum	PANGAEA	2024
10.1594/pangaea.965082	Physiological parameters from a long-term multiple stressor aquarium experiment with the cold-water coral Desmophyllum pertusum	PANGAEA	2024
10.1594/pangaea.965098	Dissolution rates from a long-term multiple stressor aquarium experiment with the cold-water coral Desmophyllum pertusum	PANGAEA	2024
10.1594/pangaea.937301	Isotope analysis from IODP Core 339-U1389A-11H	PANGAEA	2024
10.1594/pangaea.937306	Sinking velocity of silt and sand from IODP Core 339-U1389A-25X	PANGAEA	2024
10.1594/pangaea.937300	Carbonate free grain size analysis from IODP Core 339-U1389A-11H	PANGAEA	2024
10.1594/pangaea.937299	Grain size analysis from IODP Core 339-U1389A-11H	PANGAEA	2024
10.1594/pangaea.937296	Bulk analysis from IODP Core 339-U1389A-11H	PANGAEA	2024
10.1594/pangaea.937298	Carbonate free bulk analysis from IODP Core 339-U1389A-11H	PANGAEA	2024
10.1594/pangaea.931334	Analysis of alkane from IODP Hole 356-U1461A and 356-U1461B	PANGAEA	2024
10.1594/pangaea.937305	Isotope analysis from IODP Core 339-U1389A-25X	PANGAEA	2024
10.1594/pangaea.937303	Bulk analysis from IODP Core 339-U1389A-25X	PANGAEA	2024
